시군축제명,일시,장소,방문객 수,비고
 김제지평선축제 , 9.29~10.3(5) , 벽골제 일원 ," 320,000 ",
 무주반딧불축제 , 8.27~9.4(9) , 무주종합수련원 및 남대천 일원 ," 127,000 ",
 순창장류축제 , 10.13~10.16(4) , 전통고추장민속마을 ," 148,000 ",
 완주와일드푸드축제 , 9.23~9.25(3) , 고산자연휴양림 일원 ," 58,000 ",
 고창모양성제 , 10.5~10.9(5) , 고창읍성 일원 ," 110,000 ",
 장수한우랑사과랑축제 , 9.2~9.4(3) , 의암공원 일원 ," 119,000 ",
 익산서동축제 , 5.27~5.29(3) , 금마서동공원 일원 ," 28,000 ",
 군산시간여행축제 , 9.30~10.2(3) , 근대역사박물관 일원 ," 92,000 ",
 임실N치즈축제 , 10.6~10.9(4) , 치즈테마파크 일원 ," 131,000 ",
 부안마실축제 , 5.6~5.8(3) , 부안읍 일원 ," 142,000 ",
 전주비빔밥축제 , 10.20~10.23(4) , 한국전통문화전당 ," 45,000 ",
 진안홍삼축제 , 10.12~10.16(5) , 마이산북부일원 ," 137,000 ",
 정읍황토현동학농민혁명기념제 , 5.7~5.8(2) , 황토현 전적지 ," 186,000 ",
 남원춘향제 , 5.13~5.16(4) , 광한루원 일원 ," 124,000 ",
,,,,
,,,,
